track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,explicit_track
Echo Chamber 2025,New Dawn,H. Andersson,6/7/2024,USA2P2431076,499,68.9,26891849.0,722.0,63940453.0,81.0,5611228.0,686901.0,,,,0
Ember Valley 2025,Chronicles Saga,P. Singh,5/25/2023,USSD12201328,479,70.2,136724343.0,15391.0,18104979.0,72.0,252644706.0,1115099.0,1500000.0,24961548.0,525208493.0,0
Echo Chamber 2025,Universe Zero,V. Popov,10/20/2023,QZ9QQ2300776,1785,34.5,140289944.0,11244.0,6732068.0,,102146155.0,355596.0,,558350.0,5016260.0,0
Echo Chamber 2025,Legacy Cycle,B. Carter,4/19/2022,QZQAY2209019,2438,28.9,155050178.0,35527.0,6146030.0,58.0,285012395.0,1652366.0,364400.0,175847558.0,1442464830.0,1
Ocean of Stars 2025,Universe Zero,H. Andersson,12/22/2022,QMFMF2216359,1547,37.3,427842597.0,59365.0,26456238.0,66.0,103306657.0,870677.0,21809.0,10011741.0,92071601.0,1
Lunar Cartography 2025,Universe Zero,T. Kim,4/18/2024,USUG12401036,1264,42.1,165611453.0,4418.0,21928475.0,78.0,9873283.0,96083.0,,774900.0,6383500.0,0
Digital Saints 2025,Final Chapter,E. Brooks,2/8/2023,USUYG1468508,3973,21.4,63725545.0,28846.0,5713050.0,65.0,17655608.0,162513.0,200.0,31919.0,243757.0,1
Last Signal 2025,Chronicles Saga,K. Olsen,7/10/2020,USUM72013570,3474,23.2,277094824.0,75966.0,16182804.0,63.0,118824965.0,1513533.0,299390.0,71831644.0,537618525.0,1
Winter Echo 2025,Open Sky,P. Singh,5/23/2024,USA2P2416224,2329,29.6,15290073.0,2626.0,37148745.0,74.0,1148601.0,33597.0,,,,0
Shadow Circuit 2025,Prime Story,L. Nakamura,8/4/2023,USWB12303800,3734,22.2,109868838.0,17147.0,65679098.0,70.0,6256696.0,55646.0,2428.0,385969.0,7034216.0,0
Ghost Frequency 2025,Chronicles Saga,S. Patel,12/12/2019,USL4Q1967883,2168,30.8,335856859.0,27383.0,5458230.0,66.0,917170916.0,6108835.0,288416.0,19227598.0,332846214.0,0
Violet Engine 2025,Legacy Cycle,T. Kim,5/25/2023,FRX762399738,3187,24.4,129573063.0,9240.0,3380877.0,63.0,124184578.0,417710.0,48700.0,14400034.0,168267163.0,0
Electric Mirage 2025,Legacy Cycle,Z. Ali,9/14/2023,USRC12301932,18,293.7,1258569694.0,105218.0,198845580.0,87.0,141646818.0,1514837.0,2294429.0,419319161.0,5456156211.0,1
White Noise 2025,Dark Matter,E. Brooks,2/23/2024,QM24S2400488,3107,24.8,41953270.0,5213.0,4114449.0,27.0,7636074.0,62806.0,,100993.0,4502124.0,0
Golden Ratio 2025,Dark Matter,A. Volkov,10/1/2021,US5TA2100080,1346,40.5,431638330.0,43727.0,10543105.0,66.0,564641494.0,7674539.0,641703.0,351794036.0,2323894242.0,0
